,ID,Name,Age,Nationality,Overall,Potential,Club,Contract,Value,Wage,Total stat
3938,228349,Mërgim Vojvoda,26,Kosovo,74,74,Torino F.C.,2020 ~ 2024,€4.2M,€32K,1888
3939,228368,Jamie Sterry,25,England,63,66,Hartlepool United,2020 ~ 2023,€575K,€3K,1729
3940,228408,Connor Ronan,23,Republic of Ireland,67,74,St. Mirren,"Jun 30, 2022 On Loan",€2M,€19K,1810
3941,228616,Dimitry Bertaud,23,France,73,78,Montpellier Hérault SC,2017 ~ 2025,€3.7M,€13K,1255
3942,228699,Dries Wouters,24,Belgium,70,75,KV Mechelen,"Jun 30, 2022 On Loan",€2.2M,€6K,1610
3943,228716,Kevin Vázquez Comesaña,28,Spain,71,71,RC Celta de Vigo,2011 ~ 2023,€1.7M,€14K,1799
3944,228747,Oussama Idrissi,25,Morocco,76,77,Cádiz CF,"Jun 30, 2022 On Loan",€9M,€26K,1905
3945,228805,Antonio José Raillo Arenas,29,Spain,73,73,RCD Mallorca,2016 ~ 2024,€2.5M,€20K,1667
3946,228813,Aleix García Serrano,24,Spain,72,76,Girona FC,2021 ~ 2023,€3.3M,€8K,1923
3947,228827,Jeando Fuchs,23,Cameroon,69,73,Peterborough United,2022 ~ 2024,€2M,€6K,1941
3948,228942,Dion Cools,25,Malaysia,69,71,SV Zulte Waregem,"Jun 30, 2022 On Loan",€1.6M,€11K,1824
3949,229071,Karim Onisiwo,29,Austria,74,74,1. FSV Mainz 05,2016 ~ 2024,€4.2M,€24K,1928
3950,229107,Nathan De Medina,23,Belgium,66,72,DSC Arminia Bielefeld,2020 ~ 2023,€1.2M,€6K,1622
3951,229126,James Clarke,31,England,62,62,Newport County,2021 ~ 2022,€275K,€2K,1557
3952,229188,Vangelis Pavlidis,22,Greece,74,81,AZ Alkmaar,2021 ~ 2025,€8.5M,€10K,1889
3953,229221,William de Asevedo Furtado,26,Brazil,73,74,VfL Wolfsburg,2017 ~ 2022,€3.3M,€38K,1888
3954,229325,Oscar Linnér,23,Sweden,70,75,DSC Arminia Bielefeld,2020 ~ 2023,€1.9M,€8K,1119
3955,229360,Unai Bilbao Arteta,27,Spain,71,73,Club Atlético de San Luis,2019 ~ 2025,€2M,€10K,1632
3956,229476,Waldemar Anton,24,Germany,75,78,VfB Stuttgart,2020 ~ 2024,€7M,€20K,1781
3957,229516,David Mayoral Lastras,24,Spain,68,71,CD Lugo,"Jun 30, 2022 On Loan",€1.6M,€10K,1746
3958,229528,Mykola Matvienko,25,Ukraine,73,79,Shakhtar Donetsk,2015 ~ 2025,€4.2M,€750,1815
3959,229624,Sergio Guardiola Navarro,30,Spain,72,72,Rayo Vallecano,"Jun 30, 2022 On Loan",€2.3M,€10K,1792
3960,221647,Yong Hwan Kim,28,Korea Republic,66,66,Pohang Steelers,2019 ~ 2022,€775K,€3K,1673
3961,221671,Jae Sung Lee,28,Korea Republic,76,76,1. FSV Mainz 05,2021 ~ 2024,€7.5M,€25K,1929
3962,221692,Colby Bishop,24,England,66,70,Accrington Stanley,2019 ~ 2022,€1.2M,€2K,1696
3963,221737,Yairo Moreno,26,Colombia,72,73,Pachuca,2021 ~ 2022,€2.5M,€12K,1934
3964,221743,Hélder Wander Sousa Azevedo Costa,27,Angola,75,75,Valencia CF,"Jun 30, 2022 On Loan",€6M,€63K,1797
3965,221797,Erik Thommy,26,Germany,71,71,VfB Stuttgart,2018 ~ 2022,€2M,€17K,1780
3966,221923,Carlos Martín Vigaray,26,Spain,71,72,Real Zaragoza,2019 ~ 2023,€2M,€7K,1792
3967,222079,Josh Onomah,24,England,69,74,Fulham,2019 ~ 2023,€2.1M,€21K,1867
3968,222160,Youssouf Koné,25,Mali,70,73,ESTAC Troyes,"Jun 30, 2022 On Loan",€1.9M,€25K,1826
3969,222164,Arkadiusz Kasperkiewicz,26,Poland,63,65,PGE FKS Stal Mielec,2022 ~ 2023,€525K,€950,1589
3970,222262,Cyriel Dessers,26,Nigeria,74,75,Feyenoord,"Jun 30, 2022 On Loan",€5M,€16K,1753
3971,222352,Albian Ajeti,24,Switzerland,69,73,Celtic,2020 ~ 2024,€2M,€22K,1696
3972,222390,Unai López Cabrera,25,Spain,76,79,Rayo Vallecano,2021 ~ 2024,€10M,€19K,2082
3973,222396,Dominic Ball,25,England,68,72,Queens Park Rangers,2019 ~ 2022,€1.5M,€7K,1661
3974,222475,Morten Thorsby,25,Norway,74,79,U.C. Sampdoria,2019 ~ 2023,€6M,€17K,2016
3975,222477,Louis Reed,23,England,65,68,Swindon Town,2021 ~ 2023,€875K,€4K,1801
3976,222493,Marvin Friedrich,25,Germany,78,80,Borussia Mönchengladbach,2022 ~ 2026,€15.5M,€27K,1709
3977,222503,Harry Isted,24,England,59,64,Luton Town,2017 ~ 2022,€275K,€1K,964
3978,222544,Efthymios Koulouris,25,Greece,70,72,,Free,€0,€0,1631
3979,222546,Leopold Zingerle,27,Germany,70,70,SC Paderborn 07,2017 ~ 2023,€1.2M,€7K,1048
3980,222645,Leonel López,27,Mexico,72,73,Club Universidad Nacional,2020 ~ 2021,€2.7M,€11K,1972
3981,222724,Benson Manuel,24,Belgium,73,76,Royal Antwerp FC,2019 ~ 2023,€4.2M,€15K,1861
3982,222737,Malcom Filipe Silva de Oliveira,21,Brazil,82,89,FC Barcelona,2018 ~ 2023,€31M,€140K,1978
3983,223004,Jon Nolan,29,England,62,62,Bristol Rovers,2022 ~ 2023,€400K,€3K,1752
3984,223045,Uğur Çiftçi,29,Turkey,69,69,Demir Grup Sivasspor,2018 ~ 2023,€1.2M,€8K,1838
3985,223061,Franco Cervi,27,Argentina,75,75,RC Celta de Vigo,2021 ~ 2024,€6M,€22K,1923
3986,223143,Ulisses Garcia,25,Switzerland,71,74,BSC Young Boys,2018 ~ 2024,€2.3M,€10K,1747
3987,223150,Lionel Mpasi,26,Congo DR,68,71,Rodez Aveyron Football,2016 ~ 2022,€1.2M,€2K,1213
3988,223212,Oğulcan Çağlayan,25,Turkey,70,72,Galatasaray SK,2020 ~ 2024,€2M,€26K,1773
3989,223543,Jonathan Renato Barbosa,28,Brazil,72,72,Al Hazem,2020 ~ 2022,€2.4M,€16K,1680
3990,223553,Sérgio Henrique Francisco,36,Brazil,70,70,Club Deportivo Jorge Wilstermann,2017 ~ 2022,€525K,€600,1669
3991,223641,Timo Baumgartl,25,Germany,74,77,1. FC Union Berlin,"Jun 30, 2022 On Loan",€5M,€14K,1599
3992,223670,Marvin Egho,27,Austria,64,65,Randers FC,2018 ~ 2024,€675K,€4K,1655
3993,223898,Paul Bernardoni,24,France,76,81,AS Saint-Étienne,"Jun 30, 2022 On Loan",€9M,€14K,1150
3994,223905,Perry Ng,25,England,70,73,Cardiff City,2021 ~ 2024,€1.9M,€16K,1771
3995,223909,Alex Palmer,24,England,66,71,West Bromwich Albion,2015 ~ 2023,€1M,€7K,1036
3996,223926,Samuel Bastien,24,Congo DR,71,76,Standard de Liège,2018 ~ 2023,€2.8M,€9K,1998
3997,223929,Aaron Leya Iseka,23,Belgium,68,73,Barnsley,2021 ~ 2025,€1.8M,€16K,1751
3998,223979,Paolo Fernándes Cantin,21,Spain,66,75,C.D. Castellón,2020 ~ 2023,€1.9M,€2K,1670
3999,224013,Sergi Canós Tenés,24,Spain,72,75,Brentford,2017 ~ 2023,€3.2M,€30K,1920
4000,224099,Lewie Coyle,25,England,68,71,Hull City,2020 ~ 2023,€1.5M,€5K,1743
4001,224116,Dyego Wilverson Ferreira Sousa,31,Portugal,77,77,Unión Deportiva Almería,2021 ~ 2024,€9M,€14K,1831
4002,224130,Josh Vickers,25,England,66,69,Rotherham United,2020 ~ 2023,€875K,€3K,1127
4003,224213,Tyronne Ebuehi,25,Nigeria,70,72,Venezia FC,"Jun 30, 2022 On Loan",€1.8M,€7K,1728
4004,224218,François Kamano,25,Guinea,74,76,FC Lokomotiv Moscow,2020 ~ 2024,€5.5M,€40K,1861
4005,224294,Lewis Cook,24,England,74,78,AFC Bournemouth,2016 ~ 2024,€6M,€26K,1982
4006,224361,Andy Cannon,25,England,65,68,Hull City,2021 ~ 2023,€950K,€4K,1797
4007,224395,Bentley Baxter Bahn,28,Germany,68,68,F.C. Hansa Rostock,2020 ~ 2022,€1.2M,€5K,1838
4008,224396,Yeimar Gómez Andrade,29,Colombia,76,76,Seattle Sounders FC,2020 ~ 2022,€6.5M,€9K,1602
4009,224447,Gethin Jones,25,Wales,65,66,Bolton Wanderers,2020 ~ 2024,€775K,€3K,1733
4010,224490,Zeki Çelik,24,Turkey,77,80,LOSC Lille,2018 ~ 2023,€13.5M,€27K,1989
4011,224669,Hongbo Yin,31,China PR,64,64,,Free,€0,€0,1754
4012,224796,Jorge Rodríguez,25,Argentina,75,80,Estudiantes de La Plata,2021 ~ 2023,€7.5M,€12K,1841
4013,224841,Kevin Diks,24,Netherlands,73,76,F.C. København,2021 ~ 2025,€3.8M,€14K,1906
4014,224883,Steve Mounié,26,Benin,73,74,Stade Brestois 29,2020 ~ 2024,€3.6M,€17K,1856
4015,224887,Dom Telford,24,England,65,69,Newport County,2021 ~ 2022,€1M,€4K,1630
4016,224891,Rafael António Figueiredo Ramos,26,Portugal,70,71,Santa Clara,2019 ~ 2022,€1.7M,€4K,1795
4017,224921,Adrián Marín Gómez,24,Spain,72,77,Futebol Clube de Famalicão,"Jun 30, 2022 On Loan",€3.3M,€13K,1772
4018,224947,Daniel Grimshaw,23,England,65,72,Blackpool,2021 ~ 2023,€1.2M,€2K,1144
4019,224970,Jean-Luc Dompé,25,France,71,72,SV Zulte Waregem,2020 ~ 2023,€2.2M,€10K,1882
4020,215363,Lorenzo Montipò,25,Italy,74,78,Hellas Verona,"Jun 30, 2022 On Loan",€4.6M,€3K,1162
4021,215417,Christian Mathenia,29,Germany,73,73,1. FC Nürnberg,2018 ~ 2024,€2.1M,€9K,1164
4022,215568,José Manuel García Naranjo,26,Spain,68,68,SD Ponferradina,2021 ~ 2023,€1.3M,€4K,1735
4023,215590,Ayoze Pérez Gutiérrez,27,Spain,77,77,Leicester City,2019 ~ 2023,€11M,€89K,2056
4024,215616,David Jason Remeseiro Salgueiro,26,Spain,73,73,Deportivo Alavés,2022 ~ 2025,€3.3M,€19K,1918
4025,215643,Ramiro Moschen Benetti,22,Brazil,69,77,Grêmio,2013 ~ 2016,€1.3M,€10K,1803
4026,215927,Renaud Emond,29,Belgium,68,68,Standard de Liège,2022 ~ 2024,€1.2M,€8K,1680
4027,215930,Tin Jedvaj,25,Croatia,74,77,FC Lokomotiv Moscow,2021 ~ 2025,€5M,€33K,1802
4028,216245,Luis Cárdenas,27,Mexico,68,70,CF Monterrey ,2019 ~ 2024,€1.1M,€13K,1242
4029,216268,Duncan Watmore,27,England,68,68,Middlesbrough,2020 ~ 2023,€1.3M,€13K,1761
4030,216275,Phillipp Mwene,27,Austria,74,74,PSV,2021 ~ 2024,€4.1M,€14K,1858
4031,216293,Leandro de Medeiros Silva,26,Brazil,65,67,Criciúma,2013 ~ 2013,€240K,€1K,1711
4032,216299,Connor Randall,25,England,63,64,Ross County FC,2020 ~ 2024,€525K,€2K,1633
4033,216381,Jean Zimmer,27,Germany,67,67,1. FC Kaiserslautern,2021 ~ 2024,€1.1M,€2K,1855
4034,216437,Wallace Fortuna Santos,26,Brazil,71,73,Yeni Malatyaspor,2020 ~ 2022,€2M,€9K,1506
4035,216451,Jean Michaël Seri,29,Côte d'Ivoire,74,74,Fulham,2018 ~ 2022,€3.6M,€43K,2021
4036,216466,Wendell Nascimento Borges,27,Brazil,75,75,FC Porto,2021 ~ 2025,€5.5M,€12K,1972
4037,216470,Gregor Zabret,23,Slovenia,62,70,Oldham Athletic,2013 ~ 2020,€350K,€2K,1014
4038,216643,Léo Dubois,26,France,76,77,Olympique Lyonnais,2018 ~ 2024,€8M,€48K,1990
4039,216750,Patrik Carlgren,29,Sweden,70,70,Randers FC,2018 ~ 2024,€1.1M,€7K,1279
4040,216939,Andre Blake,30,Jamaica,77,77,Philadelphia Union,2014 ~ 2024,€7M,€7K,1205
4041,218534,Sargis Adamyan,28,Armenia,74,74,Club Brugge KV,"Jun 30, 2022 On Loan",€4.3M,€32K,1843
4042,218614,Clésio Baúque,26,Mozambique,67,67,Clube Sport Marítimo,2021 ~ 2023,€1.1M,€4K,1830
4043,218658,Dominic Iorfa,26,England,68,70,Sheffield Wednesday,2019 ~ 2023,€1.3M,€3K,1614
4044,218936,Luís Rafael Soares Alves,26,Portugal,72,73,Vitória de Guimarães,2018 ~ 2022,€2.5M,€8K,1963
4045,219259,Reece Brown,25,England,67,70,Peterborough United,"Jun 30, 2022 On Loan",€1.3M,€4K,1900
4046,219293,Michał Helik,25,Poland,72,75,Barnsley,2020 ~ 2023,€2.8M,€26K,1680
4047,219409,Vyacheslav Karavaev,26,Russia,74,75,,Free,€0,€0,1966
4048,219452,Julián Fernández,26,Argentina,69,71,Newell's Old Boys,2019 ~ 2022,€1.5M,€7K,1786
4049,219461,Erik Palmer-Brown,24,United States,70,77,ESTAC Troyes,2022 ~ 2024,€3M,€9K,1588
4050,219551,Conor Shaughnessy,25,Republic of Ireland,65,70,Burton Albion,2021 ~ 2023,€950K,€2K,1715
4051,219717,Yony González,26,Colombia,74,74,Deportivo Cali,2020 ~ 2024,€4.7M,€3K,1991
4052,219754,Bruno Miguel Semedo Varela,26,Portugal,74,76,Vitória de Guimarães,2020 ~ 2024,€4M,€8K,1218
4053,219792,Baptiste Santamaria,26,France,75,76,Stade Rennais FC,2021 ~ 2025,€6.5M,€39K,1931
4054,219848,David Costas Cordal,26,Spain,72,75,Real Oviedo,2021 ~ 2024,€2.7M,€8K,1770
4055,220031,Oli McBurnie,25,Scotland,70,74,Sheffield United,2019 ~ 2023,€2.2M,€17K,1692
4056,220045,Connor Mahoney,24,England,68,71,Millwall,2019 ~ 2022,€1.6M,€6K,1652
4057,220058,Dillon Phillips,26,England,70,73,Cardiff City,2020 ~ 2023,€1.6M,€14K,1144
4058,220132,Joseba Zaldúa Bengoetxea,29,Spain,77,77,Real Sociedad,2014 ~ 2023,€9.5M,€30K,1810
4059,220148,Nicolás Orsini,26,Argentina,73,73,Boca Juniors,2021 ~ 2024,€3.4M,€15K,1772
4060,220185,Brandon Barker,24,England,67,70,Reading,2022 ~ 2022,€1.4M,€9K,1626
4061,220290,Abdoul Karim Cissé,32,Côte d'Ivoire,64,64,,Free,€0,€0,995
4062,220334,Óscar Romero,28,Paraguay,76,76,Boca Juniors,2022 ~ 2023,€7.5M,€18K,1953
4063,220477,Mattia Caldara,27,Italy,75,75,Venezia FC,"Jun 30, 2022 On Loan",€5M,€30K,1577
4064,220528,Gennaro Tutino,24,Italy,69,74,Parma,2015 ~ 2024,€2.1M,€2K,1818
4065,220575,Victor Pagliari Giro,25,Brazil,64,66,Vancouver Whitecaps FC,2019 ~ 2024,€475K,€2K,1678
4066,220746,Andrija Živković,24,Serbia,77,79,PAOK,2020 ~ 2024,€13.5M,€1K,1984
4067,220763,Ryan Thomas,26,New Zealand,73,74,PSV,2018 ~ 2022,€3.6M,€14K,1945
4068,220785,Antonio Čolak,27,Croatia,72,72,PAOK,2020 ~ 2024,€2.5M,€1K,1752
4069,220876,Franck Honorat,24,France,77,79,Stade Brestois 29,2020 ~ 2025,€13.5M,€18K,1967
4070,220969,Niclas Eliasson,25,Sweden,72,73,Nîmes Olympique,2020 ~ 2023,€2.8M,€6K,1768
4071,221149,Harry Kyprianou,23,Cyprus,59,65,Southend United,2015 ~ 2021,€325K,€2K,1591
4072,221174,Mislav Oršić,28,Croatia,76,76,Dinamo Zagreb,2018 ~ 2026,€7.5M,€1K,2077
4073,221284,Jonathan Gradit,28,France,75,75,Racing Club de Lens,2019 ~ 2024,€4.8M,€26K,1776
4074,221354,Miloš Veljković,25,Serbia,73,76,SV Werder Bremen,2016 ~ 2022,€3.6M,€10K,1617
4075,221403,Fabiano Leismann,28,Brazil,69,69,Denizlispor,2020 ~ 2021,€1.2M,€11K,1777
4076,221445,Lei Wu,29,China PR,75,75,RCD Espanyol de Barcelona,2019 ~ 2024,€5.5M,€20K,1944
4077,221452,Alexander Mesa Travieso,26,Spain,67,67,Real Zaragoza,"Jun 30, 2022 On Loan",€1.1M,€10K,1759
4078,221634,Luciano Acosta,27,Argentina,75,76,FC Cincinnati,2021 ~ 2023,€6.5M,€9K,1889
4080,210802,Joakim Nilsson,27,Sweden,74,75,DSC Arminia Bielefeld,2019 ~ 2022,€4.2M,€20K,1606
4081,210828,Björn Engels,26,Belgium,74,76,Royal Antwerp FC,2021 ~ 2026,€4.6M,€17K,1670
4082,210951,Edison Flores,27,Peru,69,70,D.C. United,2020 ~ 2023,€1.6M,€4K,1811
4083,210985,Ben Osborn,26,England,72,72,Sheffield United,2019 ~ 2022,€2.3M,€19K,1908
4084,211022,Rubén García Santos,27,Spain,79,79,CA Osasuna,2018 ~ 2024,€18.5M,€33K,1999
4085,211048,Olarenwaju Kayode,28,Nigeria,71,71,Demir Grup Sivasspor,"Jun 30, 2022 On Loan",€1.9M,€750,1832
4086,211061,Alexandru Maxim,30,Romania,74,74,Gazişehir Gaziantep F.K.,2020 ~ 2024,€4.1M,€14K,1848
4087,211093,Callum McGregor,28,Scotland,77,77,Celtic,2009 ~ 2026,€10.5M,€54K,2116
4088,211101,Rubén Blanco Veiga,25,Spain,74,78,RC Celta de Vigo,2012 ~ 2023,€4.6M,€14K,1213
4089,211241,Rubén Peña Jiménez,29,Spain,79,79,Villarreal CF,2019 ~ 2024,€15.5M,€35K,2074
4090,211276,Daniel Santa,26,Colombia,62,64,Alianza Petrolera,2014 ~ 2022,€300K,€1K,1619
4091,211354,Marco Benassi,26,Italy,72,72,Empoli,"Jun 30, 2022 On Loan",€2.5M,€33K,1969
4092,211381,Sofiane Boufal,27,Morocco,76,76,Angers SCO,2020 ~ 2024,€8M,€25K,1832
4093,211672,Tyler Boyd,26,United States,69,69,Çaykur Rizespor,"May 31, 2022 On Loan",€1.5M,€19K,1734
4094,211856,Kevin Akpoguma,26,Nigeria,75,77,TSG Hoffenheim,2013 ~ 2024,€6M,€28K,1775
4095,212125,Lazar Marković,24,Serbia,74,76,Fulham,2019 ~ 2019,€7M,€40K,1859
4096,212127,Darko Lazović,30,Serbia,76,76,Hellas Verona,2019 ~ 2022,€7M,€26K,1989
4097,212137,Andreas Vindheim,25,Norway,69,70,FC Schalke 04,"Jun 30, 2022 On Loan",€1.5M,€500,1825
4098,212138,Przemysław Frankowski,26,Poland,75,76,Racing Club de Lens,2021 ~ 2026,€6M,€24K,2002
4099,212150,Max Meyer,25,Germany,72,75,FC Midtjylland,"Jun 30, 2022 On Loan",€3.1M,€30K,1952
4100,212204,Brandon Mechele,28,Belgium,76,77,Club Brugge KV,2012 ~ 2023,€7M,€24K,1634
4101,212210,Richairo Živković,23,Netherlands,67,72,Guangzhou City,2019 ~ 2021,€1.6M,€5K,1627
4102,212214,Augusto Solari,29,Argentina,73,73,RC Celta de Vigo,2021 ~ 2024,€3M,€19K,1981
4103,212231,Tobias Pereira Figueiredo,27,Portugal,69,70,Nottingham Forest,2018 ~ 2022,€1.4M,€20K,1509
4104,212245,Yannick Gerhardt,27,Germany,76,76,VfL Wolfsburg,2016 ~ 2025,€8M,€51K,2020
4105,212267,Ivan Ricardo Cavaleiro,27,Portugal,72,72,Fulham,2020 ~ 2024,€2.5M,€37K,1873
4106,212516,John Souttar,24,Scotland,70,74,Heart of Midlothian,2016 ~ 2022,€2.1M,€4K,1703
4107,212626,Davie Selke,26,Germany,71,72,Hertha BSC,2017 ~ 2022,€2.2M,€28K,1761
4108,212755,Jorrit Hendrix,26,Netherlands,73,74,Feyenoord,2021 ~ 2024,€3.2M,€9K,1915
4109,212886,Wylan Cyprien,26,France,72,73,FC Nantes,"Jun 30, 2022 On Loan",€2.5M,€4K,2036
4110,212911,Hernâni Jorge Santos Fortes,29,Portugal,73,73,Unión Deportiva Las Palmas,2022 ~ 2022,€3M,€9K,1818
4111,212947,Jimmy Cabot,27,France,75,75,Angers SCO,2020 ~ 2023,€6M,€22K,1862
4112,213063,Roberto Suárez Pier,26,Spain,72,75,Levante Unión Deportiva,2019 ~ 2023,€2.7M,€17K,1719
4113,213160,Roman Zobnin,27,Russia,76,77,Spartak Moskva,2016 ~ 2024,€7.5M,€45K,2030
4114,213332,Matheus Simoneti Bressaneli,28,Brazil,69,70,FC Dallas,2019 ~ 2021,€1.3M,€4K,1610
4115,213414,William Troost-Ekong,27,Nigeria,71,73,Watford,2020 ~ 2025,€2M,€28K,1502
4116,213434,Jevani Brown,26,Jamaica,64,65,Exeter City,2021 ~ 2023,€700K,€4K,1771
4117,213439,Jonathan Osorio,29,Canada,73,73,Toronto FC,2013 ~ 2022,€3M,€8K,1931
4118,213582,Alan Ruiz,27,Argentina,69,69,FC Arouca,2022 ~ 2022,€1.5M,€5K,1807
4119,213591,Juan Cornejo,31,Chile,67,67,CD Antofagasta,2022 ~ 2022,€750K,€2K,1814
4120,213686,Donald Love,26,Scotland,62,62,Salford City,2021 ~ 2022,€400K,€4K,1579
4121,213696,Matty Willock,24,Montserrat,59,62,Salford City,2021 ~ 2022,€300K,€3K,1665
4122,213815,Mikael Uhre,26,Denmark,73,74,Philadelphia Union,2022 ~ 2024,€3.6M,€8K,1760
4123,213874,Thiago Henrique Mendes Ribeiro,29,Brazil,76,76,Olympique Lyonnais,2019 ~ 2023,€6.5M,€50K,2064
4124,213905,Sam Gallagher,25,England,70,71,Blackburn Rovers,2019 ~ 2024,€1.9M,€24K,1787
4125,213949,Kwasi Wriedt,26,Ghana,68,69,Holstein Kiel,2022 ~ 2025,€1.4M,€11K,1683
4126,214196,Daniel Bocanegra,34,Colombia,72,72,Club Libertad,2020 ~ 2022,€750K,€850,1946
4127,214294,Esteban Pavez,31,Chile,70,70,Colo-Colo,2022 ~ 2023,€1.3M,€5K,2005
4128,214373,Antony Silva,37,Paraguay,76,76,Puebla FC,2021 ~ 2023,€825K,€5K,1199
4129,214434,Mauricio Cuero,28,Colombia,72,72,Club Atlético Banfield,2020 ~ 2022,€2.4M,€12K,1775
4130,214658,Jesper Karlström,26,Sweden,71,73,Lech Poznań,2021 ~ 2024,€2.1M,€7K,1889
4131,214665,Juan Ramírez,28,Argentina,74,74,Boca Juniors,2021 ~ 2024,€4.2M,€16K,1959
4132,214692,Christian Cueva,29,Peru,74,74,Al Fateh,2021 ~ 2023,€4.1M,€29K,1882
4133,214747,Diego Orellana,28,Chile,60,60,CD Antofagasta,2021 ~ 2022,€250K,€850,1683
4134,214862,Leandro Benegas,32,Chile,69,69,Club Atlético Independiente,2022 ~ 2022,€1.1M,€8K,1800
4135,215018,Brahian Alemán,31,Uruguay,72,72,Gimnasia y Esgrima La Plata,2019 ~ 2022,€1.9M,€13K,2011
4136,215211,Baily Cargill,25,England,64,66,Forest Green Rovers,2021 ~ 2023,€650K,€4K,1559
4137,215223,Walter Benítez,28,Argentina,80,82,OGC Nice,2016 ~ 2023,€18M,€32K,1281
4138,215294,Cristian Menéndez,33,Argentina,69,69,Atlético Tucumán,2021 ~ 2023,€900K,€7K,1755
4139,215316,Gerónimo Rulli,29,Argentina,81,81,Villarreal CF,2020 ~ 2024,€17.5M,€33K,1329
4140,205186,Paulo Gazzaniga,29,Argentina,75,75,Fulham,2021 ~ 2023,€3.8M,€38K,1413
4141,205193,Karim Rekik,26,Netherlands,74,77,Sevilla FC,2020 ~ 2025,€4.9M,€20K,1730
4142,205352,Jordan Archer,28,Scotland,66,68,Queens Park Rangers,2021 ~ 2023,€725K,€4K,1117
4143,205391,Soualiho Meïté,27,France,75,75,SL Benfica,2021 ~ 2026,€6M,€13K,1969
4144,205427,Jorge Djaniny Tavares Semedo,30,Cape Verde Islands,74,74,Trabzonspor,2020 ~ 2023,€4.1M,€25K,1873
4145,205431,Niclas Füllkrug,28,Germany,75,75,SV Werder Bremen,2019 ~ 2023,€6M,€15K,1819
4146,205586,Isaac Vassell,27,England,63,63,Cardiff City,2019 ~ 2022,€525K,€8K,1592
4147,205678,Edin Višća,31,Bosnia and Herzegovina,81,81,Trabzonspor,2022 ~ 2025,€21.5M,€41K,2071
4148,205849,Esteban Andrada,30,Argentina,79,79,CF Monterrey ,2021 ~ 2024,€11.5M,€41K,1277
4149,205953,João Paulo Mior,30,Brazil,75,75,Seattle Sounders FC,2020 ~ 2022,€5.5M,€9K,2039
4150,206006,Ezgjan Alioski,29,North Macedonia,73,73,Al Ahli,2021 ~ 2023,€2.7M,€28K,2054
4151,206098,Patricio Gabarrón Gil,28,Spain,74,75,Lazio,2015 ~ 2022,€4M,€41K,1863
4152,206160,Amato Ciciretti,26,Italy,73,73,Chievo Verona,2018 ~ 2022,€3.3M,€4K,1808
4153,206218,Paul Nardi,27,France,74,77,FC Lorient,2019 ~ 2023,€4.1M,€13K,1144
4154,206304,Luka Milivojević,30,Serbia,75,75,Crystal Palace,2017 ~ 2023,€4.7M,€42K,2014
4155,206413,Taras Stepanenko,31,Ukraine,78,78,Shakhtar Donetsk,2010 ~ 2022,€10M,€1K,1992
4156,206516,Will Hughes,26,England,75,76,Crystal Palace,2021 ~ 2024,€6.5M,€46K,1940
4157,206555,Christy Pym,26,England,63,63,Stevenage,"Jun 30, 2022 On Loan",€375K,€2K,1107
4158,206606,Philipp Hofmann,28,Germany,73,73,Karlsruher SC,2019 ~ 2022,€3.1M,€15K,1631
4159,206652,Sergio Rico González,27,Spain,76,78,RCD Mallorca,"Jun 30, 2022 On Loan",€7M,€46K,1210
4160,207444,Jürgen Damm,28,Mexico,70,70,Atlanta United,2020 ~ 2022,€1.6M,€5K,1835
4161,207465,Felipe Martins,30,Brazil,68,68,Austin FC,2022 ~ 2022,€1M,€3K,1848
4162,207557,Robin Olsen,31,Sweden,75,75,Aston Villa,"Jun 30, 2022 On Loan",€3M,€31K,1188
4163,207734,Paulo Henrique Soares dos Santos,26,Brazil,71,72,Shanghai Port FC,2021 ~ 2023,€2.2M,€15K,1960
4164,207894,Tobias Strobl,31,Germany,74,74,FC Augsburg,2020 ~ 2023,€3M,€20K,1751
4165,207926,Andreas Linde,27,Sweden,73,76,SpVgg Greuther Fürth,2022 ~ 2024,€3M,€15K,1138
4166,207960,Aitor García Flores,27,Spain,71,71,Real Sporting de Gijón,2019 ~ 2023,€2M,€7K,1850
4167,208024,Murray Wallace,28,Scotland,70,70,Millwall,2018 ~ 2022,€1.4M,€9K,1580
4168,208137,Lucas Torró Marset,26,Spain,74,77,CA Osasuna,2020 ~ 2024,€5M,€21K,1842
4169,208153,Lars Veldwijk,29,South Africa,70,70,Suwon FC,2020 ~ 2022,€1.6M,€4K,1684
4170,208224,Petros Mantalos,29,Greece,77,77,AEK Athens,2014 ~ 2024,€10.5M,€2K,1990
4171,208230,Andreas Samaris,32,Greece,73,73,Fortuna Sittard,2021 ~ 2022,€2M,€10K,1936
4172,208334,Jonas Hector,31,Germany,78,78,1. FC Köln,2012 ~ 2023,€10M,€28K,2039
4173,208335,Lukas Kübler,28,Germany,72,72,Sport-Club Freiburg,2015 ~ 2022,€2.1M,€18K,1736
4174,208339,Oumar Niasse,31,Senegal,68,68,Burton Albion,2022 ~ 2022,€1M,€4K,1660
4175,208451,Robin Quaison,27,Sweden,75,75,Ettifaq FC,2021 ~ 2024,€6M,€30K,1921
4176,208520,Hiroki Sakai,31,Japan,74,74,Urawa Red Diamonds,2021 ~ 2023,€3.1M,€11K,1888
4177,208522,Hörður Magnússon,28,Iceland,73,74,,Free,€0,€0,1805
4178,208534,Alfie Mawson,27,England,70,72,Fulham,2018 ~ 2022,€1.7M,€26K,1536
4179,208535,Alfred Duncan,28,Ghana,74,74,Fiorentina,2020 ~ 2022,€4.2M,€42K,2005
